Nation Name,GDP per capita,IQ average,Gini Coefficient,Life expectancy,HDI,Unemployment rate,Public debt to GDP ratio,CPI,Rule of Law Index,Democracy Index,Dummy
Guinea,0.1139896373,0.04663212435,0.1113989637,0.04663212435,0.05699481865,0.5803108808,0.7202072539,0.1606217617,0.225388601,0.3575129534,0.3575129534
Guinea-Bissau,0.0725388601,0.02849740933,0.621761658,0.1295336788,0.0725388601,0.4015544041,0.6010362694,0.07772020725,0.1968911917,0.1139896373,0.1139896373
Guyana,0.6476683938,0.5129533679,0.1994818653,0.3367875648,0.3937823834,0.1139896373,0.7098445596,0.4792746114,0.4766839378,0.1476683938,0.1476683938
Haiti,0.1450777202,0.4922279793,0.3212435233,0.1450777202,0.1476683938,0.1243523316,0.9067357513,0.0518134715,0.06476683938,0.5595854922,0.5595854922
Honduras,0.2901554404,0.08808290155,0.1191709845,0.4663212435,0.3523316062,0.292746114,0.6113989637,0.1191709845,0.225388601,0.170984456,0.170984456
Hungary,0.7616580311,0.9274611399,0.8238341969,0.6580310881,0.792746114,0.7564766839,0.2590673575,0.5259067358,0.5025906736,0.3989637306,0.3989637306
Iceland,0.9740932642,0.8860103627,0.9378238342,0.9119170984,0.9948186528,0.6787564767,0.3160621762,0.914507772,0.9740932642,0.6373056995,0.6373056995
India,0.2538860104,0.3056994819,0.6528497409,0.4196891192,0.3471502591,0.4455958549,0.2176165803,0.4792746114,0.4300518135,0.7227979275,0.7227979275
Indonesia,0.4404145078,0.3626943005,0.4844559585,0.3678756477,0.4740932642,0.5388601036,0.774611399,0.4378238342,0.5440414508,0.6476683938,0.6476683938
Islamic Republic of Iran,0.3212435233,0.4248704663,0.3341968912,0.6994818653,0.621761658,0.3056994819,0.6606217617,0.1606217617,0.170984456,0.1191709845,0.1191709845
Iraq,0.4766839378,0.707253886,0.8367875648,0.4352331606,0.4093264249,0.1476683938,0.5492227979,0.1191709845,0.1476683938,0.2383419689,0.2383419689
Ireland,0.9948186528,0.8134715026,0.8549222798,0.8989637306,0.9896373057,0.7124352332,0.4896373057,0.9274611399,0.9378238342,0.9637305699,0.9637305699
Israel,0.9170984456,0.7720207254,0.4430051813,0.8989637306,0.9067357513,0.7435233161,0.4248704663,0.829015544,0.8886010363,0.8549222798,0.8549222798
Italy,0.8601036269,0.7979274611,0.5906735751,0.9533678756,0.8549222798,0.3549222798,0.02590673575,0.7331606218,0.7979274611,0.8134715026,0.8134715026
Jamaica,0.4663212435,0.2849740933,0.1735751295,0.3860103627,0.518134715,0.3316062176,0.1502590674,0.5751295337,0.6269430052,0.7512953368,0.7512953368
Japan,0.8445595855,1,0.6994818653,0.9896373057,0.9222797927,0.8911917098,0.00518134715,0.8937823834,0.9015544041,0.9222797927,0.9222797927
Jordan,0.4041450777,0.4352331606,0.6683937824,0.7150259067,0.5544041451,0.06476683938,0.170984456,0.6373056995,0.5829015544,0.2461139896,0.2461139896
Kazakhstan,0.6683937824,0.6943005181,0.8937823834,0.5233160622,0.7720207254,0.6424870466,0.9170984456,0.4041450777,0.5440414508,0.2098445596,0.2098445596
